uniq_id,product_name,pid,retail_price,discounted_price,is_FK_Advantage_product,product_rating,overall_rating,brand
c2d766ca982eca8304150849735ffef9,Alisha Solid Women's Cycling Shorts,SRTEH2FF9KEDEFGF,999,379,FALSE,No rating available,No rating available,Alisha
7f7036a6d550aaa89d34c77bd39a5e48,FabHomeDecor Fabric Double Sofa Bed,SBEEH3QGU7MFYJFY,32157,22646,FALSE,No rating available,No rating available,FabHomeDecor
f449ec65dcbc041b6ae5e6a32717d01b,AW Bellies,SHOEH4GRSUBJGZXE,999,499,FALSE,No rating available,No rating available,AW
0973b37acd0c664e3de26e97e5571454,Alisha Solid Women's Cycling Shorts,SRTEH2F6HUZMQ6SJ,699,267,FALSE,No rating available,No rating available,Alisha
bc940ea42ee6bef5ac7cea3fb5cfbee7,Sicons All Purpose Arnica Dog Shampoo,PSOEH3ZYDMSYARJ5,220,210,FALSE,No rating available,No rating available,Sicons
c2a17313954882c1dba461863e98adf2,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,PWTEB7H2E4KCYUE3,430,430,FALSE,No rating available,No rating available,Eternal Gandhi
ce5a6818f7707e2cb61fdcdbba61f5ad,Alisha Solid Women's Cycling Shorts,SRTEH2FVVKRBAXHB,1199,479,FALSE,No rating available,No rating available,Alisha
8542703ca9e6ebdf6d742638dfb1f2ca,FabHomeDecor Fabric Double Sofa Bed,SBEEH3QGYGHFUEXN,32157,22646,FALSE,No rating available,No rating available,FabHomeDecor
29c8d290caa451f97b1c32df64477a2c,"dilli bazaaar Bellies, Corporate Casuals, Casuals",SHOEH3DZBFR88SCK,699,349,FALSE,No rating available,No rating available,dilli bazaaar
4044c0ac52c1ee4b28777417651faf42,Alisha Solid Women's Cycling Shorts,SRTEH2FVUHAAVH9X,1199,479,FALSE,No rating available,No rating available,Alisha
e54bc0a7c3429da2ebef0b30331fe3d2,Ladela Bellies,SHOEH4KM2W3Z6EH5,1724,950,FALSE,5,5,Ladela
c73e78fb440ff8972e0762daed4fc109,Carrel Printed Women's,SWIEHF3EF5PZAZUY,2299,910,FALSE,No rating available,No rating available,Carrel
c29af37837afcaf44b779eca7c19295f,Sicons All Purpose Tea Tree Dog Shampoo,PSOEH3ZYYFETGCCD,,,FALSE,No rating available,No rating available,Sicons
9aacdecceb404c74abddc513fd2756a8,Alisha Solid Women's Cycling Shorts,SRTEH2FGBDJGX8FW,999,379,FALSE,No rating available,No rating available,Alisha
83c53f8948f508f51d2249b489ca8e7d,Freelance Vacuum Bottles 350 ml Bottle,BOTEGYTZ2T6WUJMM,699,699,FALSE,No rating available,No rating available,Freelance
d95b0456a0350bc42f2393c6e84b0f09,Alisha Solid Women's Cycling Shorts,SRTEH2FECMGNZJXJ,999,379,FALSE,No rating available,No rating available,Alisha
849ab05698081a374215d0b7d18047d0,FabHomeDecor Fabric Double Sofa Bed,SBEEH3QGAYAEPRCG,32157,22646,FALSE,No rating available,No rating available,FabHomeDecor
c275ee5ac19f774a3ef7da71b40aabd8,Style Foot Bellies,SHOEH4FSHEDEMVTM,899,449,FALSE,No rating available,No rating available,Style Foot
4f3511c33a6869b1d5102cd97818ef00,Carrel Printed Women's,SWIEHF3H7WG6VGMR,2499,999,FALSE,No rating available,No rating available,Carrel
7ee3e337474a29b38cfe1f5d4020d633,FabHomeDecor Fabric Double Sofa Bed,SBEEH3QGWRGG3J6Q,32157,22646,FALSE,No rating available,No rating available,FabHomeDecor
f35f27525ab8f5988d3817ee9bb02ce1,Sicons Conditioning Conditoner Dog Shampoo,PSOEH3ZXRTZJUVXM,110,100,FALSE,No rating available,No rating available,Sicons
ea98a65ad1e1b8688eddf89fbc7b3e27,Alisha Solid Women's Cycling Shorts,SRTEH2FD3ANFFMHP,,,FALSE,No rating available,No rating available,Alisha
7a7ba93ab20a2b50fd5a7dc74bcba063,dongli Printed Boy's Round Neck T-Shirt,TSHEHBHSKBJWHFNF,2400,1039,FALSE,No rating available,No rating available,dongli
9c26a5d85a59d6a34a199ae1df836ec3,SWAGGA Women Clogs,SNDEH75ZFZ5REGFH,1500,1500,FALSE,No rating available,No rating available,SWAGGA
20cf08ae845d5fd8f2b8cf52b3b9d840,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,PTYEA6SFGD4X8NAR,190,190,FALSE,No rating available,No rating available,Kennel
bb41283056536d7af11e994ba4f9db81,Glus Wedding Lingerie Set,LINE92U9KGZG25AY,1299,699,FALSE,No rating available,No rating available,
ea91e47cac68b132887d7fc1175e91c2,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,SKTEC88WSNYJKWY7,3199,2499,FALSE,No rating available,No rating available,
bec784ef794cf596dbe2cbbaf5427ef0,Bulaky vanity case Jewellery Vanity Case,VANDZY4YZFPEG85T,499,390,FALSE,3,3,
171e0bcea390c17fd70e3ffa6c2cd187,FDT Women's Leggings,LJGEB2KMCMMHHFC7,699,309,FALSE,No rating available,No rating available,
a60ebb7803c6a31795de3f8949cb6f98,Madcaps C38GR30 Men's Cargos,CRGE6A53UX7CJMXX,2199,1699,FALSE,No rating available,No rating available,
186d40c6852da91166c7eb7856603c51,Bengal Blooms Rose Artificial Plant  with Pot,ARPEGDHSXZJSHGSN,799,579,FALSE,No rating available,No rating available,Bengal Blooms
e71017e224688489edfe856f2308806d,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,FABEJX2NHNKCYHKA,999,699,FALSE,No rating available,No rating available,Indcrown
6286847ee2da18f587503db49511c539,Shopmania Music Band A5 Notebook Spiral Bound,DIAEJ6Z8BEDTGGYY,499,275,FALSE,No rating available,No rating available,Shopmania
0686fec9b70e5039583a38119ca0c835,Shopmania Music Band A5 Notebook Spiral Bound,DIAEJ6Z8KQFWDEGH,499,275,FALSE,No rating available,No rating available,Shopmania
ea2406dc597bee2abb6b867fa668501f,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",DIAEJ8FGHZ3K86JU,1000,837,FALSE,No rating available,No rating available,Tiara Diaries
5935ed077915347dc695744df68c565c,KAJCI Embroidered Women's Waistcoat,WSCEG2FYDYFDSVZ6,1200,699,FALSE,No rating available,No rating available,KAJCI
89fcdddaad50084e395d0928a7426afe,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,PKBEGBTRKKHU26YQ,350,298,FALSE,No rating available,No rating available,Packman
b9b183aa18d3a721d2ac23e7184525b0,Pick Pocket Embroidered Women's Waistcoat,WSCEFUV4TVWT73ZB,899,899,FALSE,No rating available,No rating available,Pick Pocket
dee64864c0419bec80fbbb94d19bc40d,Angelfish Silk Potali Potli,PPSEGFYAGD8FYUXV,999,399,FALSE,No rating available,No rating available,Angelfish
595f55f2c1293f07ea9ec9fa2bb39f46,Oye Boy's Dungaree,DRPEF2XSFBAP4SUZ,899,764,FALSE,No rating available,No rating available,Oye
547b6585272473ae006bcfbdb47b6ae0,Nuride Canvas Shoes,SHOEGVQCT2ZSGUHY,1999,1349,FALSE,No rating available,No rating available,Nuride
f6ae9e271a1d4469b4f41124e001e1cc,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,SHIEHS7XJ954NRYY,1499,1499,FALSE,No rating available,No rating available,OM SHIVAKRITI
f5b22eaa5f79e67209612997f4aa215d,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,SUDEJFBRVYEUZUDH,6999,1899,FALSE,No rating available,No rating available,Himmlisch
e9eb010ed8313f65f0e049fc3fcffe87,Rapter BNC-179 BNC Wire Connector,WJCEHF8GZSQWZY7Z,2299,1400,FALSE,No rating available,No rating available,Rapter
6ef0a5eb033cd610d455be7102da5685,Vishudh Printed Women's Straight Kurta,KTAEHE9HAED4VUQB,999,499,FALSE,No rating available,No rating available,Vishudh
c9c27aa5dc7df49e82e55e8abb6b4020,Vishudh Printed Women's Straight Kurta,KTAEHE9KFCMVVSBN,899,449,FALSE,No rating available,No rating available,Vishudh
8bc90f8a2ab89daa6ea69d42fe24c985,Vishudh Printed Women's Anarkali Kurta,KTAEHE9KEZBBQHYA,2099,1049,FALSE,No rating available,No rating available,Vishudh
f04b7e56a6053c465aa03994ae749fba,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,SSSEHDP9RFW7ZGNG,6500,5000,FALSE,No rating available,No rating available,BuildTrack
e6aa835f620db985ee4389b63ef166ad,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,SSSEHFZ2TRZBAPF9,9990,4990,FALSE,No rating available,No rating available,Skayvon
cb02f195bbaabc773c7103accf6614a3,MASARA Solid Women's Straight Kurta,KTAEHETWXZYYG35G,1399,599,FALSE,No rating available,No rating available,MASARA
169902631b89202f0e2079e9cc09b3c7,Vishudh Printed Women's Straight Kurta,KTAEHE9KPZU5JK2P,899,449,FALSE,No rating available,No rating available,Vishudh
d8dfa5cfc972119fb2fb7ed330b8be54,Rapter BNC-047 BNC Wire Connector,WJCEHF8JMMZWPYYG,1299,899,FALSE,No rating available,No rating available,Rapter
5f16579ecfc3aa5dd8e65afdaa069d4f,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,SSSEHFZ34KRWYGSH,8999,4990,FALSE,No rating available,No rating available,Skayvon
06ad8323cf9105f1aaae6515cf08a7d6,Vishudh Printed Women's Straight Kurta,KTAEHE9K8CQJMQCV,899,449,FALSE,No rating available,No rating available,Vishudh
6894a5c6bb1d312fc0b65b51d9f65acc,Behringer Xenyx 502 Analog Sound Mixer,SNMEHEYXQCEW3JCQ,10000,6600,FALSE,No rating available,No rating available,Behringer
3ecb859759e5311cbab6850e98879522,Vishudh Printed Women's Straight Kurta,KTAEHE9K92ADDUNC,899,449,FALSE,No rating available,No rating available,Vishudh
5614ccefd0ab9bee5cd28bf3d38fd12f,Vishudh Printed Women's Straight Kurta,KTAEHE9KNNU7RP4Z,899,449,FALSE,No rating available,No rating available,Vishudh
aff8be089d14317011f1cc3eba810b6d,MASARA Solid Women's Straight Kurta,KTAEHETWZZ5KEAT9,1399,599,FALSE,No rating available,No rating available,MASARA
b75e9fbc54e49dcee551709bd63e243c,MASARA Solid Women's Straight Kurta,KTAEHETVCXXZRXGK,1399,550,FALSE,No rating available,No rating available,MASARA
d620fa0d35825bb3c0717e9d3446cc97,Roadster Men's Zipper Solid Cardigan,CGNEDFY77SGZTEQ2,1399,699,FALSE,3.6,3.6,Roadster
ee383a337af67ae8ad4f42714d67ddaf,Vishudh Printed Women's Straight Kurta,KTAEHE9H9MVK42JA,999,499,FALSE,No rating available,No rating available,Vishudh
97b8a04ee0c6f158ed18a99cfc2bd6ed,Noor Embroidered Women's Straight Kurta,KTAEHFQGFGMGGMUZ,1649,849,FALSE,No rating available,No rating available,Noor
154968876a45c0e99d35b5d57290d0b3,MASARA Solid Women's Straight Kurta,KTAEHETW3ZCMFMJR,1399,599,FALSE,No rating available,No rating available,MASARA
0305111c779fe663bd94122bef0f0002,Vishudh Printed Women's Straight Kurta,KTAEHE9KFWXNYHFD,899,449,FALSE,No rating available,No rating available,Vishudh
80993e88a0224c71617e37dcd1e17745,Libas Printed Women's A-line Kurta,KTAEGFPRCCS46ZMA,899,449,FALSE,No rating available,No rating available,Libas
f3ff4d066fa5290970f46762caa5c73a,Libas Printed Women's Anarkali Kurta,KTAEG2EQ6GSJE8AG,1849,924,FALSE,No rating available,No rating available,Libas
fabe2ce4a6b7510fa1bac6922156ab7b,MASARA Solid Women's Straight Kurta,KTAEHETWRNSWM4EF,999,499,FALSE,No rating available,No rating available,MASARA
9ec7cf78ff9e728bf1d7eb6609f42188,HRS ULTIMATE BOY Chest Pads,PADEHZFHMTEUP8YG,440,395,FALSE,No rating available,No rating available,HRS
7a7e587d3344885bdb8c77f8b7679483,Vermello Men Casual Brown Genuine Leather Belt,BELEG6KUK6ZBFTZJ,1495,795,FALSE,No rating available,No rating available,Vermello
c497e4250ea07a8a87efa8fda01ae6e0,HRS CLUB BOY Thigh Pads,PADEHZFJGQNSEVKC,280,250,FALSE,No rating available,No rating available,HRS
7db2acfee8298ef8c687d688147c69be,Ligans NY Men Formal Black Genuine Leather Belt,BELEG68SBMZFFN5Z,795,695,FALSE,No rating available,No rating available,Ligans NY
